tipo_plato,ventas_totales,cantidad_total,precio_prom_por_ud,costo_prom_por_ud,margen_unitario,residual_prom,precio_sugerido,n_obs
salchipapa,1009.0,80,12.6125,0.9800000000000001,11.6325,-0.12187405740148662,12.7,57
adobo_cerdo,956.0,75,12.746666666666666,4.35,8.396666666666667,-0.11505765832587951,12.84,58
escabeche_pescado,953.0,75,12.706666666666667,4.83,7.876666666666667,-0.02256217668709461,12.72,56
tortilla_verduras,946.0,76,12.447368421052632,2.0,10.447368421052632,-0.007980246262450643,12.45,53
estofado_res,933.0,74,12.608108108108109,4.81,7.798108108108109,-0.010553835713165002,12.62,54
seco_de_pollo,927.0,74,12.527027027027026,3.6600000000000006,8.867027027027026,-0.12464095376895258,12.62,57
